cellID,flframe,cfp,yfp
78894697,-3,-0.17,-0.109
78894697,-2,-0.18,-0.142
78894697,-1,-0.185,-0.203
78894697,0,-0.164,-0.22
78894697,1,-0.134,-0.384
78894697,2,-0.1,-0.736
78894708,-3,-0.152,-2.408
78894708,-2,-0.155,-2.037
78894708,-1,-0.155,-1.74
78894708,0,-0.146,-1.544
78894708,1,-0.134,-1.479
78894708,2,-0.123,-1.578
78894708,3,-0.117,-1.717
78894708,4,-0.114,-1.861
78894708,5,-0.108,-1.996
78894708,6,-0.103,-2.022
78894713,-3,0.028,0.586
78894713,-2,0.007,0.397
78894713,-1,-0.011,0.1
78894713,0,-0.03,-0.558
78894713,1,-0.046,-1.333
78894713,2,-0.049,-1.97
78894713,3,-0.051,-2.298
78894715,-3,-0.038,-3.256
78894715,-2,-0.083,-3.272
78894715,-1,-0.123,-3.355
78894715,0,-0.159,-3.582
78894719,-3,-0.042,-0.256
78894719,-2,-0.044,-0.206
78894719,-1,-0.044,-0.26
78894719,0,-0.052,-0.614
78894719,1,-0.063,-1.123
78894719,2,-0.072,-1.578
78894719,3,-0.076,-1.79
78894719,4,-0.072,-1.712
78894721,-3,-0.165,0.074
78894721,-2,-0.162,0.152
78894721,-1,-0.155,0.202
78894721,0,-0.136,0.09
78894721,1,-0.117,-0.361
78894721,2,-0.099,-0.961
78894734,-3,-0.22,-2
78894734,-2,-0.23,-1.417
78894734,-1,-0.234,-0.859
78894734,0,-0.216,-0.365
78894734,1,-0.188,0.024
78894734,2,-0.157,0.123
78894734,3,-0.142,-0.093
78894734,4,-0.139,-0.451
78894734,5,-0.135,-0.76
78894734,6,-0.134,-0.882
78894734,7,-0.133,-0.754
78894734,8,-0.116,-0.33
78894734,9,-0.098,0.2
78894734,10,-0.077,0.724
78894737,-3,-0.045,0.286
78894737,-2,-0.051,0.369
78894737,-1,-0.055,0.364
78894737,0,-0.058,0.111
78894737,1,-0.058,-0.342
78894751,-3,-0.301,-3.654
78894751,-2,-0.298,-3.125
78894751,-1,-0.291,-2.653
78894751,0,-0.275,-2.366
78894751,1,-0.256,-2.266
78894751,2,-0.233,-2.392
78894751,3,-0.223,-2.631
78894751,4,-0.219,-2.84
78894751,5,-0.217,-3.048
78894751,6,-0.217,-3.193
78894751,7,-0.215,-3.241
78894751,8,-0.199,-3.098
78894751,9,-0.179,-2.871
78894751,10,-0.158,-2.593
78894751,11,-0.144,-2.38
78894751,12,-0.131,-2.129
78894751,13,-0.12,-1.895
